i,val_rmse,val_r2,train_rmse,train_r2,gap_rmse,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
1331,0.1527430973822353,0.5865919980515282,0.10083462219269214,0.8183373120380081,0.051908475189543155,0.1,0.05,128,5.0,200,63,20
1270,0.15277905679047826,0.5863973227141246,0.1242436791277545,0.7241995364852684,0.028535377662723765,0.1,0.03,255,,200,15,10
1403,0.15281588907458404,0.5861978743348735,0.05123236556236129,0.9531040645521357,0.10158352351222275,0.1,0.05,128,,800,63,20
1394,0.15281588907458404,0.5861978743348735,0.05123236556236129,0.9531040645521357,0.10158352351222275,0.1,0.05,128,,400,63,20
1177,0.15287274470934578,0.5858899042761698,0.05334012193361558,0.9491659872697398,0.0995326227757302,0.1,0.03,128,,400,63,10
2158,0.15300892457308743,0.5851517926616474,0.05183536792188614,0.9519936423864186,0.10117355665120129,1.0,0.03,255,,800,63,10
1166,0.15309489742941979,0.5846854707739544,0.09899654936324988,0.8248998576501153,0.05409834806616991,0.1,0.03,128,,200,31,20
430,0.15322258875485134,0.5839923819808964,0.051536447251364435,0.9525457255146876,0.1016861415034869,0.0,0.03,255,,800,63,10
157,0.15326207685561466,0.5837779296905676,0.10653801801950233,0.7972057619464455,0.04672405883611233,0.0,0.01,255,5.0,800,31,10
106,0.1532666615436473,0.5837530275500575,0.06053114931974399,0.9345357457068295,0.0927355122239033,0.0,0.01,128,,800,63,10
273,0.15329125268357166,0.5836194458747596,0.12704289502929372,0.7116319446565709,0.026248357654277937,0.0,0.03,128,7.0,200,15,50
421,0.15332229816631493,0.5834507729194255,0.0528125847480053,0.9501665182380924,0.10050971341830964,0.0,0.03,255,,400,63,10
708,0.15334714867282584,0.583315733224786,0.08387727221075997,0.8743000857060016,0.06946987646206587,0.0,0.1,128,7.0,200,31,50
726,0.15334714867282584,0.583315733224786,0.08387727221075997,0.8743000857060016,0.06946987646206587,0.0,0.1,128,7.0,800,31,50
717,0.15334714867282584,0.583315733224786,0.08387727221075997,0.8743000857060016,0.06946987646206587,0.0,0.1,128,7.0,400,31,50
313,0.15334909295529867,0.5833051669109086,0.05279801213727162,0.950194015613717,0.10055108081802705,0.0,0.03,128,,400,63,10
1120,0.1533590291768155,0.5832511658571827,0.1074916452707941,0.793559070599682,0.04586738390602138,0.1,0.03,128,5.0,400,31,10
1129,0.1533590291768155,0.5832511658571827,0.1074916452707941,0.793559070599682,0.04586738390602138,0.1,0.03,128,5.0,800,31,10
1020,0.15336524574590818,0.5832173784702255,0.12238068587272131,0.7324086006008956,0.030984559873186865,0.1,0.01,255,5.0,800,15,50
745,0.1534973054172986,0.5824993034884173,0.054126250846491676,0.9476565580765433,0.09937105457080694,0.0,0.1,128,,400,63,10
736,0.1534973054172986,0.5824993034884173,0.054126250846491676,0.9476565580765433,0.09937105457080694,0.0,0.1,128,,200,63,10
754,0.1534973054172986,0.5824993034884173,0.054126250846491676,0.9476565580765433,0.09937105457080694,0.0,0.1,128,,800,63,10
1161,0.1537001489357675,0.5813951373106616,0.08279564343976878,0.8775210777243434,0.07090450549599872,0.1,0.03,128,7.0,800,63,50
1152,0.1537001489357675,0.5813951373106616,0.08279564343976878,0.8775210777243434,0.07090450549599872,0.1,0.03,128,7.0,400,63,50
2128,0.1537804035362294,0.5809578737549348,0.07994899810217096,0.8857983348257041,0.07383140543405844,1.0,0.03,255,7.0,800,31,10
2119,0.1537804035362294,0.5809578737549348,0.07994899810217096,0.8857983348257041,0.07383140543405844,1.0,0.03,255,7.0,400,31,10
2149,0.15378232191138796,0.5809474187814662,0.05338168770261422,0.949086730679267,0.10040063420877374,1.0,0.03,255,,400,63,10
297,0.15380958479862644,0.5807988243810815,0.08142517381900913,0.881542169701642,0.07238441097961731,0.0,0.03,128,7.0,800,63,50
288,0.15380958479862644,0.5807988243810815,0.08142517381900913,0.881542169701642,0.07238441097961731,0.0,0.03,128,7.0,400,63,50
2135,0.15393195265382043,0.580131542765824,0.1260742867075295,0.7160123692373473,0.027857665946290938,1.0,0.03,255,,200,15,20
2031,0.15394481847125002,0.5800613536131125,0.10305612875881064,0.8102446479919675,0.050888689712439386,1.0,0.03,128,,200,31,50
76,0.1539468929899429,0.5800500355778546,0.09334891342743028,0.844308494060731,0.06059797956251263,0.0,0.01,128,7.0,800,31,10
2159,0.15397874049446264,0.5798762647205262,0.05573573768072807,0.9444973278995897,0.09824300281373458,1.0,0.03,255,,800,63,20
2150,0.15397874049446264,0.5798762647205262,0.05573573768072807,0.9444973278995897,0.09824300281373458,1.0,0.03,255,,400,63,20
2251,0.15400193111229288,0.5797497061755941,0.11760067510963704,0.7529038294293047,0.03640125600265584,1.0,0.05,128,,400,15,10
2260,0.15400193111229288,0.5797497061755941,0.11760067510963704,0.7529038294293047,0.03640125600265584,1.0,0.05,128,,800,15,10
2242,0.15400193111229288,0.5797497061755941,0.11760067510963704,0.7529038294293047,0.03640125600265584,1.0,0.05,128,,200,15,10
2532,0.1540204507103441,0.5796486251770241,0.1142742972532978,0.7666845472864464,0.039746153457046296,1.0,0.1,255,5.0,800,15,50
2523,0.1540204507103441,0.5796486251770241,0.1142742972532978,0.7666845472864464,0.039746153457046296,1.0,0.1,255,5.0,400,15,50
2514,0.1540204507103441,0.5796486251770241,0.1142742972532978,0.7666845472864464,0.039746153457046296,1.0,0.1,255,5.0,200,15,50
2299,0.15408732072857872,0.5792835437102948,0.10355018179477594,0.8084209054038827,0.05053713893380278,1.0,0.05,255,5.0,200,31,10
2317,0.15408732072857872,0.5792835437102948,0.10355018179477594,0.8084209054038827,0.05053713893380278,1.0,0.05,255,5.0,800,31,10
2308,0.15408732072857872,0.5792835437102948,0.10355018179477594,0.8084209054038827,0.05053713893380278,1.0,0.05,255,5.0,400,31,10
1385,0.1540900601918735,0.5792685840428887,0.05704877698222211,0.9418514269293415,0.09704128320965139,0.1,0.05,128,,200,63,20
584,0.15411741382810742,0.579119196657728,0.10104684186012607,0.8175718415345746,0.05307057196798136,0.0,0.05,255,5.0,400,63,20
593,0.15411741382810742,0.579119196657728,0.10104684186012607,0.8175718415345746,0.05307057196798136,0.0,0.05,255,5.0,800,63,20
1141,0.1541533926422251,0.5789226639057112,0.07851527323102238,0.8898575639151226,0.07563811941120273,0.1,0.03,128,7.0,200,63,10
2347,0.1541770963155962,0.5787931585234815,0.06513027842141124,0.9242099393663445,0.08904681789418496,1.0,0.05,255,7.0,800,63,10
2338,0.1541770963155962,0.5787931585234815,0.06513027842141124,0.9242099393663445,0.08904681789418496,1.0,0.05,255,7.0,400,63,10
2329,0.15419534410737065,0.5786934478690611,0.06659456395565572,0.9207637443930726,0.08760078015171494,1.0,0.05,255,7.0,200,63,10
575,0.15425371256130946,0.578374428296668,0.1032275993114006,0.8096126715287146,0.051026113249908855,0.0,0.05,255,5.0,200,63,20
1274,0.1543451246386194,0.5778745623449358,0.099681990380773,0.8224667157705131,0.05466313425784641,0.1,0.03,255,,200,31,20
53,0.15435596277803879,0.5778152768315514,0.10891278037653152,0.7880643211895888,0.04544318240150727,0.0,0.01,128,5.0,800,63,20
1268,0.15441938713084774,0.5774682569484394,0.06926067284263569,0.9142923085292028,0.08515871428821205,0.1,0.03,255,7.0,800,63,20
1259,0.15441938713084774,0.5774682569484394,0.06926067284263569,0.9142923085292028,0.08515871428821205,0.1,0.03,255,7.0,400,63,20
971,0.1544882555931681,0.5770912887344781,0.06150956100361542,0.9324023434897892,0.09297869458955267,0.1,0.01,128,,800,63,20
2203,0.15455529388627096,0.5767241769519692,0.09983383509874409,0.8219254339716922,0.054721458787526864,1.0,0.05,128,5.0,400,63,10
2212,0.15455529388627096,0.5767241769519692,0.09983383509874409,0.8219254339716922,0.054721458787526864,1.0,0.05,128,5.0,800,63,10
679,0.15461903852838885,0.5763749539741629,0.10417009159709026,0.8061202383449692,0.05044894693129859,0.0,0.1,128,5.0,200,31,10
688,0.15461903852838885,0.5763749539741629,0.10417009159709026,0.8061202383449692,0.05044894693129859,0.0,0.1,128,5.0,400,31,10
697,0.15461903852838885,0.5763749539741629,0.10417009159709026,0.8061202383449692,0.05044894693129859,0.0,0.1,128,5.0,800,31,10
2194,0.15465773105806824,0.5761629079581625,0.10049050837132262,0.81957510067339,0.05416722268674562,1.0,0.05,128,5.0,200,63,10
1139,0.15471577619399224,0.5758447046828319,0.10386669479691514,0.807247948568548,0.0508490813970771,0.1,0.03,128,7.0,200,31,20
188,0.1547217370954813,0.575812020276628,0.07596308077874057,0.8969016951488893,0.07875865631674071,0.0,0.01,255,7.0,800,63,20
264,0.15473144957474985,0.5757587627790338,0.12317174434000074,0.7289380434121557,0.031559705234749116,0.0,0.03,128,5.0,800,15,50
255,0.15473144957474985,0.5757587627790338,0.12317174434000074,0.7289380434121557,0.031559705234749116,0.0,0.03,128,5.0,400,15,50
2136,0.15474119378230772,0.5757053279427755,0.12847917186791316,0.7050748273391865,0.026262021914394557,1.0,0.03,255,,200,15,50
1221,0.1547632181345742,0.5755845394168675,0.11995997868865656,0.7428898954587726,0.034803239445917636,0.1,0.03,255,5.0,200,31,50
1167,0.15476647348734943,0.5755666845726102,0.10281882134056632,0.8111175413853602,0.05194765214678311,0.1,0.03,128,,200,31,50
2213,0.15482456942256526,0.5752479788755875,0.10296439078823895,0.8105823284992456,0.05186017863432631,1.0,0.05,128,5.0,800,63,20
2204,0.15482456942256526,0.5752479788755875,0.10296439078823895,0.8105823284992456,0.05186017863432631,1.0,0.05,128,5.0,400,63,20
2540,0.15482842989281725,0.5752267966692852,0.09678671198137857,0.8326299068772245,0.05804171791143868,1.0,0.1,255,7.0,200,15,20
2549,0.15482842989281725,0.5752267966692852,0.09678671198137857,0.8326299068772245,0.05804171791143868,1.0,0.1,255,7.0,400,15,20
2558,0.15482842989281725,0.5752267966692852,0.09678671198137857,0.8326299068772245,0.05804171791143868,1.0,0.1,255,7.0,800,15,20
2103,0.15484940856887552,0.5751116784942459,0.11524878011665401,0.7626883497335901,0.03960062845222151,1.0,0.03,255,5.0,800,31,50
2094,0.15484940856887552,0.5751116784942459,0.11524878011665401,0.7626883497335901,0.03960062845222151,1.0,0.03,255,5.0,400,31,50
2097,0.15484940856887552,0.5751116784942459,0.11524878011665401,0.7626883497335901,0.03960062845222151,1.0,0.03,255,5.0,400,63,50
2106,0.15484940856887552,0.5751116784942459,0.11524878011665401,0.7626883497335901,0.03960062845222151,1.0,0.03,255,5.0,800,63,50
2195,0.1548686826985042,0.5750059000824703,0.10329047775871904,0.8093806617624062,0.05157820493978517,1.0,0.05,128,5.0,200,63,20
1992,0.15494145798547437,0.5746063830971581,0.11917933630468913,0.7462253075055942,0.03576212168078524,1.0,0.03,128,5.0,800,15,50
1983,0.15494145798547437,0.5746063830971581,0.11917933630468913,0.7462253075055942,0.03576212168078524,1.0,0.03,128,5.0,400,15,50
2553,0.15494927480555304,0.5745634596693262,0.08142400970832286,0.8815455567878197,0.07352526509723017,1.0,0.1,255,7.0,400,31,50
2544,0.15494927480555304,0.5745634596693262,0.08142400970832286,0.8815455567878197,0.07352526509723017,1.0,0.1,255,7.0,200,31,50
2562,0.15494927480555304,0.5745634596693262,0.08142400970832286,0.8815455567878197,0.07352526509723017,1.0,0.1,255,7.0,800,31,50
1051,0.1550167106566874,0.5741930685424421,0.07144852651760376,0.9087919987508726,0.08356818413908364,0.1,0.01,255,7.0,800,63,10
315,0.1550261219468371,0.574141364255723,0.05712952831524511,0.9416866942819253,0.09789659363159199,0.0,0.03,128,,400,63,50
324,0.1550261219468371,0.574141364255723,0.05712952831524511,0.9416866942819253,0.09789659363159199,0.0,0.03,128,,800,63,50
1164,0.1550262503550581,0.5741406587775524,0.12838169317298692,0.7055221841276494,0.026644557182071177,0.1,0.03,128,,200,15,50
2129,0.1550329219392493,0.5741040041132367,0.07943004049302313,0.8872761137618304,0.07560288144622618,1.0,0.03,255,7.0,800,31,20
2307,0.1550725801534442,0.5738860834970525,0.1109415395637837,0.7800951732683816,0.044131040589660483,1.0,0.05,255,5.0,400,15,50
2316,0.1550725801534442,0.5738860834970525,0.1109415395637837,0.7800951732683816,0.044131040589660483,1.0,0.05,255,5.0,800,15,50
1886,0.1550891180291487,0.5737951919319746,0.11098988590622115,0.7799034703115257,0.04409923212292756,1.0,0.01,255,5.0,800,31,20
482,0.15510888774416481,0.5736865255762356,0.10693024084467967,0.7957098275213312,0.048178646899485145,0.0,0.05,128,5.0,800,31,20
464,0.15510888774416481,0.5736865255762356,0.10693024084467967,0.7957098275213312,0.048178646899485145,0.0,0.05,128,5.0,200,31,20
473,0.15510888774416481,0.5736865255762356,0.10693024084467967,0.7957098275213312,0.048178646899485145,0.0,0.05,128,5.0,400,31,20
1540,0.15513838949840217,0.5735243402674828,0.11505522705436981,0.7634847803126519,0.04008316244403236,0.1,0.1,128,5.0,200,15,10
1558,0.15513838949840217,0.5735243402674828,0.11505522705436981,0.7634847803126519,0.04008316244403236,0.1,0.1,128,5.0,800,15,10
1549,0.15513838949840217,0.5735243402674828,0.11505522705436981,0.7634847803126519,0.04008316244403236,0.1,0.1,128,5.0,400,15,10
2120,0.15519940852188663,0.5731887915217639,0.08314091960652087,0.8764974192711243,0.07205848891536576,1.0,0.03,255,7.0,400,31,20
396,0.1552132187020985,0.5731128298668705,0.07755629935637622,0.8925316597483672,0.07765691934572229,0.0,0.03,255,7.0,400,63,50
384,0.15537200339923024,0.5722389632978871,0.10746025320442983,0.793679631803024,0.047911750194800415,0.0,0.03,255,7.0,200,31,50
251,0.15547103478603386,0.5716934947696859,0.11689213465688482,0.7558723534404025,0.03857890012914904,0.0,0.03,128,5.0,200,63,20
383,0.15560804298841927,0.570938275498802,0.10424536212861235,0.8058399524222043,0.051362680859806914,0.0,0.03,255,7.0,200,31,20
1111,0.1556502930445522,0.5707052497168378,0.11461799806114671,0.7652789590551483,0.04103229498340548,0.1,0.03,128,5.0,200,31,10
2463,0.15565428619606783,0.5706832226337104,0.08326773108906563,0.8761203849685112,0.0723865551070022,1.0,0.1,128,,200,31,50
2481,0.15565428619606783,0.5706832226337104,0.08326773108906563,0.8761203849685112,0.0723865551070022,1.0,0.1,128,,800,31,50
2472,0.15565428619606783,0.5706832226337104,0.08326773108906563,0.8761203849685112,0.0723865551070022,1.0,0.1,128,,400,31,50
52,0.1556813919383399,0.5705336865889548,0.1069519365232952,0.795626919944769,0.04872945541504471,0.0,0.01,128,5.0,800,63,10
2030,0.15568735403378942,0.5705007916083685,0.10112326630182107,0.817295786543706,0.054564087731968344,1.0,0.03,128,,200,31,20
1493,0.1557130764811601,0.5703588573645657,0.05763743550094514,0.9406452221950645,0.09807564098021496,0.1,0.05,255,,200,63,20
2464,0.15571459931919998,0.5703504537405462,0.052162730312277264,0.9513853665480809,0.10355186900692272,1.0,0.1,128,,200,63,10
2482,0.15571459931919998,0.5703504537405462,0.052162730312277264,0.9513853665480809,0.10355186900692272,1.0,0.1,128,,800,63,10
2473,0.15571459931919998,0.5703504537405462,0.052162730312277264,0.9513853665480809,0.10355186900692272,1.0,0.1,128,,400,63,10
1511,0.15571880824898415,0.5703272267699249,0.05748383590947063,0.940961153035676,0.09823497233951353,0.1,0.05,255,,800,63,20
1502,0.15571880824898415,0.5703272267699249,0.05748383590947063,0.940961153035676,0.09823497233951353,0.1,0.05,255,,400,63,20
1395,0.1557973719050815,0.5698935581608485,0.062212186527304286,0.9308491829336821,0.09358518537777721,0.1,0.05,128,,400,63,50
1386,0.1557973719050815,0.5698935581608485,0.062212186527304286,0.9308491829336821,0.09358518537777721,0.1,0.05,128,,200,63,50
1404,0.1557973719050815,0.5698935581608485,0.062212186527304286,0.9308491829336821,0.09358518537777721,0.1,0.05,128,,800,63,50
161,0.1558422789895627,0.5696455743888601,0.11179017228430961,0.7767180398938156,0.0440521067052531,0.0,0.01,255,5.0,800,63,20
1114,0.15585283036867628,0.5695872976946672,0.11434067618927732,0.7664134149332587,0.04151215417939896,0.1,0.03,128,5.0,200,63,10
381,0.15586148023138305,0.5695395203897919,0.12939920538060898,0.7008358122666933,0.02646227485077407,0.0,0.03,255,7.0,200,15,50
1052,0.15590732569859703,0.5692862498039384,0.07696574185764125,0.8941620779309633,0.07894158384095577,0.1,0.01,255,7.0,800,63,20
2139,0.1559680032304905,0.5689509258175165,0.10455503759746687,0.8046846797119063,0.05141296563302364,1.0,0.03,255,,200,31,50
107,0.15596972812447038,0.5689413915790951,0.06170483974973698,0.9319724480560898,0.0942648883747334,0.0,0.01,128,,800,63,20
1885,0.15605497899266313,0.5684700416055357,0.10962717130768979,0.7852749060060011,0.04642780768497334,1.0,0.01,255,5.0,800,31,10
751,0.15605922946857756,0.5684465340867684,0.0640454233835338,0.9267137352720103,0.09201380608504375,0.0,0.1,128,,800,31,10
733,0.15605922946857756,0.5684465340867684,0.0640454233835338,0.9267137352720103,0.09201380608504375,0.0,0.1,128,,200,31,10
742,0.15605922946857756,0.5684465340867684,0.0640454233835338,0.9267137352720103,0.09201380608504375,0.0,0.1,128,,400,31,10
1835,0.156109531477412,0.5681682871050224,0.06266158249361034,0.9298465388971061,0.09344794898380165,1.0,0.01,128,,800,63,20
2563,0.1561199118887506,0.5681108564049224,0.05578464366280008,0.9443998822140584,0.10033526822595051,1.0,0.1,255,7.0,800,63,10
2545,0.1561199118887506,0.5681108564049224,0.05578464366280008,0.9443998822140584,0.10033526822595051,1.0,0.1,255,7.0,200,63,10
2554,0.1561199118887506,0.5681108564049224,0.05578464366280008,0.9443998822140584,0.10033526822595051,1.0,0.1,255,7.0,400,63,10
1780,0.15616332827561757,0.5678706093638222,0.10762807254498087,0.7930347127103773,0.0485352557306367,1.0,0.01,128,5.0,800,63,10
1888,0.1561660017678507,0.5678558132593647,0.10957440497509381,0.7854815615061262,0.04659159679275689,1.0,0.01,255,5.0,800,63,10
2298,0.1561834778287016,0.5677590879723119,0.11971667494553162,0.7439317831514269,0.036466802883169974,1.0,0.05,255,5.0,200,15,50
1541,0.15618569266322366,0.5677468286873331,0.09944007156273255,0.8233273832985488,0.05674562110049111,0.1,0.1,128,5.0,200,15,20
1550,0.15618569266322366,0.5677468286873331,0.09944007156273255,0.8233273832985488,0.05674562110049111,0.1,0.1,128,5.0,400,15,20
1559,0.15618569266322366,0.5677468286873331,0.09944007156273255,0.8233273832985488,0.05674562110049111,0.1,0.1,128,5.0,800,15,20
154,0.15619511172378875,0.5676946914973287,0.12430743583563608,0.7239164051190252,0.03188767588815267,0.0,0.01,255,5.0,800,15,10
2241,0.1562770133563097,0.5672412100418961,0.09204664385593161,0.8486221609100888,0.06423036950037808,1.0,0.05,128,7.0,800,63,50
2232,0.1562770133563097,0.5672412100418961,0.09204664385593161,0.8486221609100888,0.06423036950037808,1.0,0.05,128,7.0,400,63,50
2223,0.1562770133563097,0.5672412100418961,0.09204664385593161,0.8486221609100888,0.06423036950037808,1.0,0.05,128,7.0,200,63,50
1501,0.15628633455603713,0.5671895843891139,0.05293152837571056,0.9499417971835096,0.10335480618032658,0.1,0.05,255,,400,63,10
1510,0.15628633455603713,0.5671895843891139,0.05293152837571056,0.9499417971835096,0.10335480618032658,0.1,0.05,255,,800,63,10
